,0,1,2,3,4,accuracy,macro avg,weighted avg,cohen,f1_score,recal,0,1,2,3,4
precision,0.856741333787582,0.5416666666666666,0.8487967526819368,0.6946130500758725,0.824785384107418,0.8090212198644595,0.7533206374638952,0.7997018339084416,0.7369471777092813,0.8090212198644595,0.7478327001925347,,,,,
recall,0.9704775687409551,0.40013480116827677,0.8529390341612645,0.784490145672665,0.7311219512195122,0.8090212198644595,0.7478327001925347,0.8090212198644595,0.7369471777092813,0.8090212198644595,0.7478327001925347,,,,,
f1-score,0.910069664344522,0.4602661842615325,0.8508628519527702,0.7368209255533199,0.7751344642118327,0.8090212198644595,0.7466308180647955,0.8014475369643853,0.7369471777092813,0.8090212198644595,0.7478327001925347,,,,,
support,10365.0,4451.0,13729.0,2334.0,5125.0,0.8090212198644595,36004.0,36004.0,0.7369471777092813,0.8090212198644595,0.7478327001925347,,,,,
0,,,,,,,,,,,,0.9704775687409551,0.40013480116827677,0.8529390341612645,0.784490145672665,0.7311219512195122
